model_name,context_tokens,weight_gb,kv_gb,total_gb,safe_limit_gb
0.6B,1024,0.31292438507080084,0.0390625,1.2519868850708007,7.04
0.6B,2048,0.31292438507080084,0.078125,1.2910493850708007,7.04
0.6B,4096,0.31292438507080084,0.15625,1.3691743850708007,7.04
0.6B,8192,0.31292438507080084,0.3125,1.5254243850708007,7.04
1.7B,1024,0.8866190910339357,0.046875,1.833494091033936,7.04
1.7B,2048,0.8866190910339357,0.09375,1.880369091033936,7.04
1.7B,4096,0.8866190910339357,0.1875,1.9741190910339355,7.04
1.7B,8192,0.8866190910339357,0.375,2.1616190910339355,7.04
4B,1024,2.1420419216156006,0.0546875,3.0967294216156005,7.04
4B,2048,2.1420419216156006,0.109375,3.1514169216156005,7.04
4B,4096,2.1420419216156006,0.21875,3.2607919216156005,7.04
4B,8192,2.1420419216156006,0.4375,3.4795419216156005,7.04
8B,1024,4.395842552185059,0.140625,5.436467552185058,7.04
8B,2048,4.395842552185059,0.28125,5.577092552185058,7.04
8B,4096,4.395842552185059,0.5625,5.858342552185058,7.04
8B,8192,4.395842552185059,1.125,6.420842552185058,7.04
13B,1024,7.264316082000732,0.15625,8.320566082000733,7.04
13B,2048,7.264316082000732,0.3125,8.476816082000733,7.04
13B,4096,7.264316082000732,0.625,8.789316082000733,7.04
13B,8192,7.264316082000732,1.25,9.414316082000733,7.04
